resume_id,profile_hash,dataset_version,split,target_job_family,education,school_category,major,english_level,experience,projects,skills_raw,skills_normalized,skill_levels,profile_text,screening_label,screening_label_original,screening_label_revised,label_disagreement
resume_563dfcb3a5360603,ccba2aeff797adf6dc55,revised_with_original_label_audit,train,算法工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""3―5年""},{""company_size"":""medium_company"",""duration"":""1―3年""},{""company_size"":""large_company"",""duration"":""1年以下""}]","{""small"":4,""medium"":8,""large"":0}","{""programming_language"":[""Java""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[""TensorFlow/PyTorch"",""Hadoop/Spark""],""mobile"":[],""testing"":[]}","[""Java"",""TensorFlow"",""PyTorch"",""Hadoop"",""Spark""]","{""Java"":""熟练"",""TensorFlow"":""熟练"",""PyTorch"":""熟练"",""Hadoop"":""熟练"",""Spark"":""熟练""}",意向岗位：算法工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Java（熟练）、TensorFlow（熟练）、PyTorch（熟练）、Hadoop（熟练）、Spark（熟练）。工作经验：small_company企业经验：3―5年；medium_company企业经验：1―3年；large_company企业经验：1年以下。项目经验：小型项目4个，中型项目8个，大型项目0个。,通过,通过,通过,False
resume_c4a8b47958afdc5d,997c25c6403fefacc79d,revised_with_original_label_audit,train,测试工程师,本科,211高校,计算机类,英语六级,"[{""company_size"":""medium_company"",""duration"":""3―5年""}]","{""small"":13,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""JavaScript""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[""Selenium"",""JMeter"",""Postman""]}","[""Python"",""JavaScript"",""Selenium"",""JMeter"",""Postman""]","{""Python"":""熟练"",""JavaScript"":""掌握"",""Selenium"":""精通"",""JMeter"":""掌握"",""Postman"":""熟练""}",意向岗位：测试工程师。学历：本科。专业：计算机类。英语水平：英语六级。技能：Python（熟练）、JavaScript（掌握）、Selenium（精通）、JMeter（掌握）、Postman（熟练）。工作经验：medium_company企业经验：3―5年。项目经验：小型项目13个，中型项目0个，大型项目0个。,通过,通过,通过,False
resume_4fde710f2905b7a1,e8ffbaf8d5e4495383f4,revised_with_original_label_audit,train,运维工程师,本科,普通高校,计算机类,英语四级,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL"",""Go""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""AWS/Azure"",""Docker/Kubernetes"",""Linux"",""Ansible"",""Terraform""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""Go"",""AWS"",""Azure"",""Docker"",""Kubernetes"",""Linux"",""Ansible"",""Terraform""]","{""Python"":""了解"",""Java"":""掌握"",""JavaScript"":""掌握"",""SQL"":""熟练"",""Go"":""熟练"",""AWS"":""精通"",""Azure"":""精通"",""Docker"":""熟练"",""Kubernetes"":""熟练"",""Linux"":""精通"",""Ansible"":""掌握"",""Terraform"":""掌握""}",意向岗位：运维工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Python（了解）、Java（掌握）、JavaScript（掌握）、SQL（熟练）、Go（熟练）、AWS（精通）、Azure（精通）、Docker（熟练）、Kubernetes（熟练）、Linux（精通）、Ansible（掌握）、Terraform（掌握）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
resume_fdbe32d0fe0ae07b,450b5482ddfd105e92e9,revised_with_original_label_audit,train,运维工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""1―3年""}]","{""small"":1,""medium"":0,""large"":0}","{""programming_language"":[""Java""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""AWS/Azure"",""Docker/Kubernetes"",""Linux""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Java"",""AWS"",""Azure"",""Docker"",""Kubernetes"",""Linux""]","{""Java"":""精通"",""AWS"":""精通"",""Azure"":""精通"",""Docker"":""精通"",""Kubernetes"":""精通"",""Linux"":""熟练""}",意向岗位：运维工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Java（精通）、AWS（精通）、Azure（精通）、Docker（精通）、Kubernetes（精通）、Linux（熟练）。工作经验：small_company企业经验：1―3年。项目经验：小型项目1个，中型项目0个，大型项目0个。,通过,通过,通过,False
resume_1ba6df2f5265bf4a,0c756c8ddd6a6423042c,revised_with_original_label_audit,train,移动开发工程师,本科,普通高校,计算机类,英语六级,"[{""company_size"":""small_company"",""duration"":""5年以上""},{""company_size"":""medium_company"",""duration"":""3―5年""}]","{""small"":1,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""Go""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[""Android (Kotlin)"",""iOS (Swift)"",""React Native/Flutter""],""testing"":[]}","[""Python"",""Java"",""Go"",""Android"",""Kotlin"",""iOS"",""Swift"",""React Native"",""Flutter""]","{""Python"":""熟练"",""Java"":""熟练"",""Go"":""熟练"",""Android"":""熟练"",""Kotlin"":""熟练"",""iOS"":""了解"",""Swift"":""了解"",""React Native"":""掌握"",""Flutter"":""掌握""}",意向岗位：移动开发工程师。学历：本科。专业：计算机类。英语水平：英语六级。技能：Python（熟练）、Java（熟练）、Go（熟练）、Android（熟练）、Kotlin（熟练）、iOS（了解）、Swift（了解）、React Native（掌握）、Flutter（掌握）。工作经验：small_company企业经验：5年以上；medium_company企业经验：3―5年。项目经验：小型项目1个，中型项目0个，大型项目0个。,不通过,通过,不通过,True
resume_832e05ff649cfc81,4bad4b9ac2c24124a7cb,revised_with_original_label_audit,train,测试工程师,本科,普通高校,计算机类,英语六级,"[{""company_size"":""medium_company"",""duration"":""3―5年""}]","{""small"":4,""medium"":8,""large"":0}","{""programming_language"":[""Python"",""Java""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[""Selenium"",""JUnit"",""JMeter""]}","[""Python"",""Java"",""Selenium"",""JUnit"",""JMeter""]","{""Python"":""精通"",""Java"":""熟练"",""Selenium"":""掌握"",""JUnit"":""掌握"",""JMeter"":""掌握""}",意向岗位：测试工程师。学历：本科。专业：计算机类。英语水平：英语六级。技能：Python（精通）、Java（熟练）、Selenium（掌握）、JUnit（掌握）、JMeter（掌握）。工作经验：medium_company企业经验：3―5年。项目经验：小型项目4个，中型项目8个，大型项目0个。,不通过,通过,不通过,True
resume_07ce4af3cd1ae538,34ab4f2022f6d6f7e459,revised_with_original_label_audit,train,前端开发工程师,本科,普通高校,计算机类,英语六级,"[{""company_size"":""small_company"",""duration"":""5年以上""}]","{""small"":14,""medium"":7,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL""],""frontend"":[""HTML/CSS"",""React/Vue"",""Webpack"",""TypeScript"",""Redux/Vuex""],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""HTML"",""CSS"",""React"",""Vue"",""Webpack"",""TypeScript"",""Redux"",""Vuex""]","{""Python"":""熟练"",""Java"":""精通"",""JavaScript"":""熟练"",""SQL"":""熟练"",""HTML"":""掌握"",""CSS"":""掌握"",""React"":""熟练"",""Vue"":""熟练"",""Webpack"":""掌握"",""TypeScript"":""掌握"",""Redux"":""熟练"",""Vuex"":""熟练""}",意向岗位：前端开发工程师。学历：本科。专业：计算机类。英语水平：英语六级。技能：Python（熟练）、Java（精通）、JavaScript（熟练）、SQL（熟练）、HTML（掌握）、CSS（掌握）、React（熟练）、Vue（熟练）、Webpack（掌握）、TypeScript（掌握）、Redux（熟练）、Vuex（熟练）。工作经验：small_company企业经验：5年以上。项目经验：小型项目14个，中型项目7个，大型项目0个。,通过,通过,通过,False
resume_da5eec5c6f24b135,77d818b6bf7e02945314,revised_with_original_label_audit,train,后端开发工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""5年以上""}]","{""small"":12,""medium"":7,""large"":2}","{""programming_language"":[""Python"",""JavaScript""],""frontend"":[],""backend"":[""Spring Boot"",""Django/Flask"",""RESTful API"",""Kafka/RabbitMQ""],""database"":[""MySQL"",""PostgreSQL"",""MongoDB""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""JavaScript"",""Spring Boot"",""Django"",""Flask"",""RESTful API"",""Kafka"",""RabbitMQ"",""MySQL"",""PostgreSQL"",""MongoDB""]","{""Python"":""熟练"",""JavaScript"":""掌握"",""Spring Boot"":""熟练"",""Django"":""熟练"",""Flask"":""熟练"",""RESTful API"":""熟练"",""Kafka"":""精通"",""RabbitMQ"":""精通"",""MySQL"":""熟练"",""PostgreSQL"":""了解"",""MongoDB"":""了解""}",意向岗位：后端开发工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Python（熟练）、JavaScript（掌握）、Spring Boot（熟练）、Django（熟练）、Flask（熟练）、RESTful API（熟练）、Kafka（精通）、RabbitMQ（精通）、MySQL（熟练）、PostgreSQL（了解）、MongoDB（了解）。工作经验：small_company企业经验：5年以上。项目经验：小型项目12个，中型项目7个，大型项目2个。,通过,通过,通过,False
resume_1ca11fcf89ba1750,554470c0786c6499fd79,revised_with_original_label_audit,dev,运维工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""5年以上""}]","{""small"":13,""medium"":8,""large"":1}","{""programming_language"":[""Python"",""Java"",""Go""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""Docker/Kubernetes"",""Linux"",""Terraform""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""Go"",""Docker"",""Kubernetes"",""Linux"",""Terraform""]","{""Python"":""精通"",""Java"":""了解"",""Go"":""精通"",""Docker"":""掌握"",""Kubernetes"":""掌握"",""Linux"":""熟练"",""Terraform"":""掌握""}",意向岗位：运维工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Python（精通）、Java（了解）、Go（精通）、Docker（掌握）、Kubernetes（掌握）、Linux（熟练）、Terraform（掌握）。工作经验：small_company企业经验：5年以上。项目经验：小型项目13个，中型项目8个，大型项目1个。,不通过,通过,不通过,True
resume_f08c21f71ad23b79,ff285fe55e47a49259ad,revised_with_original_label_audit,train,数据工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""3―5年""}]","{""small"":2,""medium"":6,""large"":1}","{""programming_language"":[""Java"",""SQL""],""frontend"":[],""backend"":[],""database"":[""MySQL"",""PostgreSQL"",""MongoDB"",""Redis""],""cloud_devops"":[],""data_ai"":[""Pandas/Numpy"",""TensorFlow/PyTorch"",""Hadoop/Spark"",""Tableau/Power BI/FineBI""],""mobile"":[],""testing"":[]}","[""Java"",""SQL"",""MySQL"",""PostgreSQL"",""MongoDB"",""Redis"",""Pandas"",""NumPy"",""TensorFlow"",""PyTorch"",""Hadoop"",""Spark"",""Tableau"",""Power BI"",""FineBI""]","{""Java"":""掌握"",""SQL"":""掌握"",""MySQL"":""熟练"",""PostgreSQL"":""了解"",""MongoDB"":""精通"",""Redis"":""了解"",""Pandas"":""了解"",""NumPy"":""了解"",""TensorFlow"":""掌握"",""PyTorch"":""掌握"",""Hadoop"":""熟练"",""Spark"":""熟练"",""Tableau"":""熟练"",""Power BI"":""熟练"",""FineBI"":""熟练""}",意向岗位：数据工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Java（掌握）、SQL（掌握）、MySQL（熟练）、PostgreSQL（了解）、MongoDB（精通）、Redis（了解）、Pandas（了解）、NumPy（了解）、TensorFlow（掌握）、PyTorch（掌握）、Hadoop（熟练）、Spark（熟练）、Tableau（熟练）、Power BI（熟练）、FineBI（熟练）。工作经验：small_company企业经验：3―5年。项目经验：小型项目2个，中型项目6个，大型项目1个。,通过,不通过,通过,True
resume_87695a77266c92a5,1cb0ee4ce9f64f8555cc,revised_with_original_label_audit,train,云计算工程师,专科,普通高校,计算机类,无,"[{""company_size"":""small_company"",""duration"":""5年以上""}]","{""small"":11,""medium"":1,""large"":0}","{""programming_language"":[""Python""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""AWS/Azure"",""Docker/Kubernetes"",""Linux"",""Terraform""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""AWS"",""Azure"",""Docker"",""Kubernetes"",""Linux"",""Terraform""]","{""Python"":""掌握"",""AWS"":""掌握"",""Azure"":""掌握"",""Docker"":""掌握"",""Kubernetes"":""掌握"",""Linux"":""掌握"",""Terraform"":""熟练""}",意向岗位：云计算工程师。学历：专科。专业：计算机类。英语水平：无。技能：Python（掌握）、AWS（掌握）、Azure（掌握）、Docker（掌握）、Kubernetes（掌握）、Linux（掌握）、Terraform（熟练）。工作经验：small_company企业经验：5年以上。项目经验：小型项目11个，中型项目1个，大型项目0个。,不通过,不通过,不通过,False
resume_dbf8e71bc29c07bc,bbd3478a3eaa6193e236,revised_with_original_label_audit,test,云计算工程师,本科,普通高校,非计算机类,英语六级,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL"",""Go""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""AWS/Azure"",""Docker/Kubernetes"",""Linux"",""Ansible"",""Terraform""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""Go"",""AWS"",""Azure"",""Docker"",""Kubernetes"",""Linux"",""Ansible"",""Terraform""]","{""Python"":""熟练"",""Java"":""熟练"",""JavaScript"":""精通"",""SQL"":""了解"",""Go"":""熟练"",""AWS"":""熟练"",""Azure"":""熟练"",""Docker"":""熟练"",""Kubernetes"":""熟练"",""Linux"":""熟练"",""Ansible"":""熟练"",""Terraform"":""掌握""}",意向岗位：云计算工程师。学历：本科。专业：非计算机类。英语水平：英语六级。技能：Python（熟练）、Java（熟练）、JavaScript（精通）、SQL（了解）、Go（熟练）、AWS（熟练）、Azure（熟练）、Docker（熟练）、Kubernetes（熟练）、Linux（熟练）、Ansible（熟练）、Terraform（掌握）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
